Date,Mkt-RF,SMB,HML,RF
198001,5.51,1.65,1.72,0.8
198002,-1.22,-1.83,0.66,0.89
198003,-12.9,-6.65,-1.02,1.21
198004,3.97,0.96,1.01,1.26
198005,5.26,2.16,0.38,0.81
198006,3.06,1.66,-0.85,0.61
198007,6.49,4.25,-6.29,0.53
198008,1.8,3.91,-2.64,0.64
198009,2.19,0.87,-4.77,0.75
198010,1.06,2.48,-2.77,0.95
198011,9.59,-3.46,-8.36,0.96
198012,-4.52,-0.27,2.73,1.31
198101,-5.04,3.01,6.83,1.04
198102,0.57,-0.32,1,1.07
198103,3.56,3.58,0.69,1.21
198104,-2.11,4.42,2.29,1.08
198105,0.11,2,-0.47,1.15
198106,-2.36,-0.83,5.1,1.35
198107,-1.54,-2.18,-0.68,1.24
198108,-7.04,-1.96,4.84,1.28
198109,-7.17,-2.66,5.2,1.24
198110,4.92,2.14,-4.22,1.21
198111,3.36,-0.97,1.89,1.07
198112,-3.65,1.17,0.75,0.87
198201,-3.24,-1.29,3.19,0.8
198202,-5.86,0.48,6.1,0.92
198203,-1.87,-0.2,3.79,0.98
198204,3.27,1.51,-2.77,1.13
198205,-3.99,0.47,1.8,1.06
198206,-3.09,-0.4,1.54,0.96
198207,-3.19,0.82,0.12,1.05
198208,11.14,-4.09,1,0.76
198209,1.29,2.89,0.33,0.51
198210,11.3,2.35,-3.73,0.59
198211,4.67,4.77,-1.89,0.63
198212,0.55,-0.19,-0.03,0.67
198301,3.6,2.7,-0.81,0.69
198302,2.59,3.24,0.7,0.62
198303,2.82,1.76,2.05,0.63
198304,6.67,0.52,0.56,0.71
198305,0.52,6.15,-1.42,0.69
198306,3.07,0.89,-3.93,0.67
198307,-4.07,1.46,5.61,0.74
198308,-0.5,-4.3,5.56,0.76
198309,0.91,0.56,1.08,0.76
198310,-3.44,-3.6,5.07,0.76
198311,2.16,2.03,-0.64,0.7
198312,-1.78,-0.29,1.68,0.73
198401,-1.92,-0.43,7.62,0.76
198402,-4.82,-1.71,3.36,0.71
198403,0.63,0.08,0.51,0.73
198404,-0.51,-1.21,1.27,0.81
198405,-5.97,0.03,0.26,0.78
198406,1.82,-0.32,-2.62,0.75
198407,-2.74,-2.22,0.48,0.82
198408,10.28,-0.27,-1.82,0.83
198409,-0.8,0.2,5.32,0.86
198410,-0.84,-1.2,0.51,1
198411,-1.76,-0.63,4.08,0.73
198412,1.84,-0.6,-0.2,0.64
198501,7.99,3.29,-5.41,0.65
198502,1.22,0.76,-0.13,0.58
198503,-0.84,-1.15,4.1,0.62
198504,-0.96,0.14,3.72,0.72
198505,5.09,-2.25,-0.92,0.66
198506,1.27,0.5,0.5,0.55
198507,-0.74,2.84,-1.68,0.62
198508,-1.02,-0.33,2.32,0.55
198509,-4.54,-1.59,1.31,0.6
198510,4.02,-1.57,0.78,0.65
198511,6.48,0.22,-2.88,0.61
198512,3.88,-0.49,-1.52,0.65
198601,0.65,1.22,0.52,0.56
198602,7.13,-0.62,-0.85,0.53
198603,4.88,-0.52,-0.44,0.6
198604,-1.31,2.85,-2.86,0.52
198605,4.62,-1.32,-0.14,0.49
198606,1.03,-0.93,1.36,0.52
198607,-6.45,-3.39,4.76,0.52
198608,6.07,-4.2,3.5,0.46
198609,-8.6,2.26,3.16,0.45
198610,4.66,-2.48,-1.37,0.46
198611,1.17,-1.92,-0.13,0.39
198612,-3.27,0.09,0.27,0.49
198701,12.47,-1.83,-3.26,0.42
198702,4.39,3.49,-5.97,0.43
198703,1.64,0.39,1.62,0.47
198704,-2.11,-1.7,-0.34,0.44
198705,0.11,-0.53,0.22,0.38
198706,3.94,-2.18,1.01,0.48
198707,3.85,-0.67,0.67,0.46
198708,3.52,-0.72,-0.92,0.47
198709,-2.59,0.52,0.27,0.45
198710,-23.24,-8.41,4.2,0.6
198711,-7.77,2.78,3.13,0.35
198712,6.81,0.13,-4.45,0.39
198801,4.21,-0.78,4.99,0.29
