Date,Google,Mkt-Rf,Rf
20140103,-0.007276974,0.0003,0
20140106,0.011149321,-0.0034,0
20140107,0.019260373,0.0068,0
20140108,0.002089846,0.0004,0
20140109,-0.009621282,0.0002,0
20140110,-5.31E-05,0.0027,0
20140113,-0.006370667,-0.0132,0
20140114,0.023526688,0.0115,0
20140115,-0.000696015,0.0053,0
20140116,0.006634163,-0.0007,0
20140117,-0.004929858,-0.0039,0
20140121,0.01145569,0.003,0
20140122,0.001134313,0.0015,0
20140123,-0.004240271,-0.0086,0
20140124,-0.031256465,-0.0219,0
20140127,-0.020109982,-0.0065,0
20140128,0.019778064,0.0073,0
20140129,-0.014318789,-0.0107,0
20140130,0.025710982,0.0122,0
20140131,0.04014515,-0.0066,0
20140203,-0.040255385,-0.0249,0
20140204,0.004182033,0.0077,0
20140205,0.0044282,-0.0023,0
20140206,0.014660602,0.0121,0
20140207,0.015069485,0.0133,0
20140210,-0.003838837,0.0016,0
20140211,0.014715411,0.0109,0
20140212,-0.002940732,0.0011,0
20140213,0.011140324,0.0072,0
20140214,0.002416868,0.0042,0
20140218,0.006717659,0.0027,0
20140219,-0.007069239,-0.0074,0
20140220,0.001480471,0.007,0
20140221,-0.000265759,-0.0009,0
20140224,0.007243849,0.0065,0
20140225,0.006185567,-0.001,0
20140226,0.000131148,0.0012,0
20140227,-0.000786782,0.0054,0
20140228,-0.002919948,0.0015,0
20140303,-0.010661051,-0.007,0
20140304,0.010160641,0.0167,0
20140305,0.00276566,0.0001,0
20140306,0.001099929,0.0016,0
20140307,-0.003952115,0.0004,0
20140310,-0.002650686,-0.0009,0
20140311,-0.009557925,-0.0062,0
20140312,0.006100102,0.0013,0
20140313,-0.015108092,-0.0121,0
20140314,-0.013674667,-0.0016,0
20140317,0.016439291,0.009,0
20140318,0.016089524,0.0082,0
20140319,-0.009923551,-0.0059,0
20140320,-0.001734432,0.0052,0
20140321,-0.011794581,-0.0037,0
20140324,-0.021233433,-0.0064,0
20140325,0.000690894,0.003,0
20140326,-0.023094449,-0.0089,0
20140327,-0.015989964,-0.0019,0
20140328,0.002747203,0.0041,0
20140331,-0.005389822,0.0097,0
20140401,0.018291475,0.0087,0
20140402,-0.00028288,0.0029,0
20140403,0.004828013,-0.0031,0
20140404,-0.046692949,-0.0147,0
20140407,-0.009175667,-0.0126,0
20140408,0.031117239,0.005,0
20140409,0.016661245,0.0121,0
20140410,-0.041112691,-0.0224,0
20140411,-0.019129887,-0.0107,0
20140414,0.003609563,0.007,0
20140415,0.007362633,0.0059,0
20140416,0.037478737,0.0113,0
20140417,-0.036737415,0.0023,0
20140421,-0.013953575,0.0036,0
20140422,0.011722974,0.0058,0
20140423,-0.01471829,-0.0031,0
20140424,-0.00338725,0.0008,0
20140425,-0.017089284,-0.0105,0
20140428,0.001864911,0.0011,0
20140429,0.02041766,0.0056,0
20140430,-0.001976209,0.0035,0
20140501,0.008910552,0.0004,0
20140502,-0.006454048,-0.0007,0
20140505,-0.000208935,0.0013,0
20140506,-0.024013527,-0.0103,0
20140507,-0.010063652,0.0045,0
20140508,0.00204499,-0.0026,0
