Date,Govt,Corp,Equity
30-Nov-17,100,407.75,5155.44
01-Dec-17,100.27,409.22,5145.21
04-Dec-17,100.23,409.55,5139.91
05-Dec-17,100.3,410.1,5120.92
06-Dec-17,100.42,410.62,5120.46
07-Dec-17,100.29,409.76,5136.37
08-Dec-17,100.26,409.76,5165.19
11-Dec-17,100.2,409.55,5181.75
12-Dec-17,100.17,409.65,5189.96
13-Dec-17,100.43,410.82,5187.68
14-Dec-17,100.44,411.25,5167.45
15-Dec-17,100.45,411.66,5214.1
18-Dec-17,100.29,410.77,5242.28
19-Dec-17,100,409.51,5225.43
20-Dec-17,99.78,408.17,5221.79
21-Dec-17,99.86,408.71,5232.16
22-Dec-17,99.87,408.88,5229.79
26-Dec-17,99.94,409.41,5224.51
27-Dec-17,100.23,411.26,5229.01
28-Dec-17,100.18,411,5239.59
29-Dec-17,100.27,411.57,5212.76
02-Jan-18,100.03,409.94,5256.28
03-Jan-18,100.1,410.38,5289.92
04-Jan-18,100.05,410.17,5312.33
05-Jan-18,99.97,410.01,5349.69
08-Jan-18,99.96,410.22,5358.68
09-Jan-18,99.67,408.78,5367.26
10-Jan-18,99.67,409.04,5361.33
11-Jan-18,99.73,409.62,5399.46
12-Jan-18,99.71,409.67,5435.92
16-Jan-18,99.78,410.37,5416.86
17-Jan-18,99.68,409.5,5467.85
18-Jan-18,99.48,408.22,5459.5
19-Jan-18,99.33,407.49,5483.57
22-Jan-18,99.34,407.22,5527.89
23-Jan-18,99.5,408.01,5540.13
24-Jan-18,99.37,407.68,5537.03
25-Jan-18,99.53,408.94,5540.38
26-Jan-18,99.34,408.37,5606.08
29-Jan-18,99.23,407.84,5568.67
30-Jan-18,99.1,407,5508.36
31-Jan-18,99.14,407.62,5511.21
01-Feb-18,98.82,405.94,5508.7
02-Feb-18,98.65,405.02,5392.21
05-Feb-18,99.09,406.93,5171.26
06-Feb-18,98.83,404.8,5262.02
07-Feb-18,98.61,403.71,5235.84
08-Feb-18,98.67,403.91,5040.06
09-Feb-18,98.58,401.91,5116.99
12-Feb-18,98.6,402.08,5188.37
13-Feb-18,98.69,401.84,5202.22
14-Feb-18,98.32,400.32,5273.43
15-Feb-18,98.36,400.81,5338.35
16-Feb-18,98.49,401.54,5340.82
20-Feb-18,98.41,401.34,5309.99
21-Feb-18,98.16,399.72,5280.91
22-Feb-18,98.27,400.29,5286.5
23-Feb-18,98.48,401.15,5371.56
26-Feb-18,98.53,401.47,5435.38
27-Feb-18,98.4,400.96,5367.09
28-Feb-18,98.54,401.25,5308.09
01-Mar-18,98.8,401.8,5238.18
02-Mar-18,98.56,400.41,5265.24
05-Mar-18,98.52,399.99,5323.36
06-Mar-18,98.52,400.32,5337.69
07-Mar-18,98.51,400.22,5335.47
08-Mar-18,98.63,400.54,5360.73
09-Mar-18,98.49,399.87,5454.03
12-Mar-18,98.64,400.22,5447.1
13-Mar-18,98.76,400.51,5412.75
14-Mar-18,98.91,400.99,5383.27
15-Mar-18,98.89,400.89,5379.39
16-Mar-18,98.78,400.54,5388.74
19-Mar-18,98.74,400.14,5312.23
20-Mar-18,98.6,399.54,5320.2
21-Mar-18,98.67,399.41,5310.96
22-Mar-18,98.92,399.68,5177.52
23-Mar-18,98.96,399.78,5069.03
26-Mar-18,98.83,399.28,5206.69
27-Mar-18,99.14,400.96,5116.75
28-Mar-18,99.15,401.02,5102.69
29-Mar-18,99.29,402.06,5173.19
02-Apr-18,99.36,402.66,5057.69
03-Apr-18,99.14,401.46,5121.7
04-Apr-18,99.1,401.04,5181.31
05-Apr-18,98.93,400.82,5217.62
06-Apr-18,99.23,402.37,5103.35
09-Apr-18,99.25,402.94,5121.9
10-Apr-18,99.16,402.7,5207.73
11-Apr-18,99.23,403.01,5179.19
12-Apr-18,99,402.25,5222.55
13-Apr-18,99.04,402.39,5207.57
16-Apr-18,99.02,402.38,5249.94
17-Apr-18,99.07,402.73,5305.9
18-Apr-18,98.83,401.21,5310.32
19-Apr-18,98.67,400.13,5280.57
20-Apr-18,98.47,398.81,5235.75
23-Apr-18,98.44,398.61,5236.04
24-Apr-18,98.37,397.93,5166.1
25-Apr-18,98.25,396.77,5175.59
26-Apr-18,98.41,397.49,5229.61
27-Apr-18,98.54,398.25,5235.73
30-Apr-18,98.61,398.46,5193.04
01-May-18,98.5,397.72,5206.31
02-May-18,98.52,397.27,5168.79
03-May-18,98.64,397.63,5157.7
04-May-18,98.66,397.78,5224.71
07-May-18,98.65,397.58,5242.87
08-May-18,98.58,397.3,5241.53
09-May-18,98.44,396.64,5292.9
10-May-18,98.58,397.71,5343.7
11-May-18,98.6,398.34,5354.69
14-May-18,98.5,398.12,5359.66
15-May-18,98.2,396.62,5323.23
16-May-18,98.09,395.45,5346.33
17-May-18,98.03,395.11,5343.29
18-May-18,98.27,396.07,5329.66
21-May-18,98.29,396.4,5369.19
22-May-18,98.27,396.29,5352.45
23-May-18,98.52,397.36,5369.99
24-May-18,98.7,398.15,5359.32
25-May-18,98.92,399.32,5347.31
