Date,S&P500,HP
2009-10-07,1057.58,46.56
2009-10-08,1065.48,46.46
2009-10-09,1071.49,47.38
2009-10-12,1076.19,47.04
2009-10-13,1073.19,46.69
2009-10-14,1092.02,47.89
2009-10-15,1096.56,48
2009-10-16,1087.68,48.37
2009-10-19,1097.91,48.47
2009-10-20,1091.06,48.74
2009-10-21,1081.4,48.22
2009-10-22,1092.91,48.32
2009-10-23,1079.6,48.56
2009-10-26,1066.95,47.86
2009-10-27,1063.41,47.3
2009-10-28,1042.63,46.93
2009-10-29,1066.11,48.35
2009-10-30,1036.19,47.46
2009-11-02,1042.88,48.16
2009-11-03,1045.41,47.51
2009-11-04,1046.5,47.76
2009-11-05,1066.63,48.85
2009-11-06,1069.3,49.16
2009-11-09,1093.08,49.99
2009-11-10,1093.01,49.96
2009-11-11,1098.51,50
2009-11-12,1087.24,49.7
2009-11-13,1093.48,49.91
2009-11-16,1109.3,50.81
2009-11-17,1110.32,51.32
2009-11-18,1109.8,50.48
2009-11-19,1094.9,49.82
2009-11-20,1091.38,50.04
2009-11-23,1106.24,51.02
2009-11-24,1105.65,50.19
2009-11-25,1110.63,50.05
2009-11-27,1091.49,49.07
2009-11-30,1095.63,49.06
2009-12-01,1108.86,49.59
2009-12-02,1109.24,48.98
2009-12-03,1099.92,48.96
2009-12-04,1105.98,49.79
2009-12-07,1103.25,49.21
2009-12-08,1091.94,48.94
2009-12-09,1095.95,49.95
2009-12-10,1102.35,50.14
2009-12-11,1106.41,50.05
2009-12-14,1114.11,50.68
2009-12-15,1107.93,50.99
2009-12-16,1109.18,51.36
2009-12-17,1096.08,50.56
2009-12-18,1102.47,51.5
2009-12-21,1114.05,51.99
2009-12-22,1118.02,52.46
2009-12-23,1120.59,52.49
2009-12-24,1126.48,52.87
2009-12-28,1127.78,52.76
2009-12-29,1126.2,52.57
2009-12-30,1126.42,52.93
2009-12-31,1115.1,51.51
2010-01-04,1132.99,52.45
2010-01-05,1136.52,52.67
2010-01-06,1137.14,52.18
2010-01-07,1141.69,52.2
2010-01-08,1144.98,52.59
2010-01-11,1146.98,52.43
2010-01-12,1136.22,51.97
2010-01-13,1145.68,52.22
2010-01-14,1148.46,52.51
2010-01-15,1136.03,52.47
2010-01-19,1150.23,52.75
2010-01-20,1138.04,52.21
2010-01-21,1116.48,51.29
2010-01-22,1091.76,49.29
2010-01-25,1096.78,50.06
2010-01-26,1092.17,49.74
2010-01-27,1097.5,49.45
2010-01-28,1084.53,47.79
2010-01-29,1073.87,47.07
2010-02-01,1089.19,47.83
2010-02-02,1103.32,48.59
2010-02-03,1097.28,48.73
2010-02-04,1063.11,47.03
2010-02-05,1066.19,47.32
2010-02-08,1056.74,47.59
2010-02-09,1070.52,48.12
2010-02-10,1068.13,48.02
2010-02-11,1078.47,48.62
2010-02-12,1075.51,48.46
2010-02-16,1094.87,49.44
2010-02-17,1099.51,50.12
2010-02-18,1106.75,50.81
2010-02-19,1109.17,50.79
2010-02-22,1108.01,50.56
2010-02-23,1094.6,50.12
2010-02-24,1105.24,50.79
2010-02-25,1102.94,50.92
2010-02-26,1104.49,50.79
2010-03-01,1115.71,51.54
2010-03-02,1118.31,51.12
2010-03-03,1118.79,51.1
2010-03-04,1122.97,51.51
2010-03-05,1138.7,52.03
2010-03-08,1138.5,51.73
