DATE,sprtrn,spindx
19900102,0.017799,359.69
19900103,-0.002586,358.76
19900104,-0.008613,355.67
19900105,-0.009756,352.20
19900108,0.004514,353.79
19900109,-0.011787,349.62
19900110,-0.006607,347.31
19900111,0.003513,348.53
19900112,-0.024675,339.93
19900115,-0.008619,337.00
19900116,0.011128,340.75
19900117,-0.009831,337.40
19900118,0.002341,338.19
19900119,0.002839,339.15
19900122,-0.025859,330.38
19900123,0.003723,331.61
19900124,-0.004071,330.26
19900125,-0.012657,326.08
19900126,-0.000859,325.80
19900129,-0.001842,325.20
19900130,-0.006827,322.98
19900131,0.018887,329.08
19900201,-0.000881,328.79
19900202,0.006478,330.92
19900205,0.002810,331.85
19900206,-0.006599,329.66
19900207,0.012407,333.75
19900208,-0.002367,332.96
19900209,0.001982,333.62
19900212,-0.010611,330.08
19900213,0.002848,331.02
19900214,0.002991,332.01
19900215,0.008674,334.89
19900216,-0.006480,332.72
19900220,-0.014216,327.99
19900221,-0.000976,327.67
19900222,-0.006012,325.70
19900223,-0.004759,324.15
19900226,0.013944,328.67
19900227,0.004838,330.26
19900228,0.004936,331.89
19900301,0.002561,332.74
19900302,0.008415,335.54
19900305,-0.005364,333.74
19900306,0.012555,337.93
19900307,-0.002900,336.95
19900308,0.009853,340.27
19900309,-0.006877,337.93
19900312,0.002190,338.67
19900313,-0.007884,336.00
19900314,0.002589,336.87
19900315,0.003562,338.07
19900316,0.011359,341.91
19900319,0.004738,343.53
19900320,-0.005705,341.57
19900321,-0.005358,339.74
19900322,-0.011921,335.69
19900323,0.004558,337.22
19900326,0.001216,337.63
19900327,0.011462,341.50
19900328,0.001464,342.00
19900329,-0.003538,340.79
19900330,-0.002494,339.94
19900402,-0.003648,338.70
19900403,0.014585,343.64
19900404,-0.007421,341.09
19900405,-0.001055,340.73
19900406,-0.001908,340.08
19900409,0.003793,341.37
19900410,0.002051,342.07
19900411,-0.000439,341.92
19900412,0.007078,344.34
19900416,0.001162,344.74
19900417,-0.000174,344.68
19900418,-0.011489,340.72
19900419,-0.007719,338.09
19900420,-0.008785,335.12
19900423,-0.012145,331.05
19900424,-0.002084,330.36
19900425,0.005055,332.03
19900426,0.002680,332.92
19900427,-0.011444,329.11
19900430,0.005135,330.80
19900501,0.004383,332.25
19900502,0.006712,334.48
19900503,0.003259,335.57
19900504,0.008404,338.39
19900507,0.006324,340.53
19900508,0.004346,342.01
19900509,0.002485,342.86
19900510,0.002800,343.82
19900511,0.023792,352.00
19900514,0.007813,354.75
19900515,-0.001325,354.28
19900516,-0.000790,354.00
19900517,0.001328,354.47
19900518,0.000480,354.64
19900521,0.009474,358.00
19900522,0.001201,358.43
19900523,0.002399,359.29
19900524,-0.002449,358.41
19900525,-0.010686,354.58
19900529,0.017119,360.65
19900530,0.000582,360.86
19900531,0.001025,361.23
19900601,0.005343,363.16
19900604,0.011675,367.40
19900605,-0.002069,366.64
19900606,-0.004582,364.96
19900607,-0.004959,363.15
19900608,-0.012226,358.71
19900611,0.008140,361.63
19900612,0.012775,366.25
19900613,-0.003686,364.90
19900614,-0.005481,362.90
19900615,0.000028,362.91
19900618,-0.016616,356.88
19900619,0.004455,358.47
19900620,0.001757,359.10
19900621,0.003815,360.47
19900622,-0.013982,355.43
19900625,-0.008778,352.31
19900626,-0.000710,352.06
19900627,0.008749,355.14
19900628,0.007011,357.63
19900629,0.001091,358.02
19900702,0.004246,359.54
19900703,0.001724,360.16
19900705,-0.012439,355.68
19900706,0.007704,358.42
19900709,0.003069,359.52
19900710,-0.008428,356.49
19900711,0.013296,361.23
19900712,0.011655,365.44
19900713,0.005117,367.31
19900716,0.004465,368.95
19900717,-0.003876,367.52
19900718,-0.008979,364.22
19900719,0.003020,365.32
19900720,-0.010155,361.61
19900723,-0.017422,355.31
19900724,0.001351,355.79
19900725,0.003654,357.09
19900726,-0.003304,355.91
19900727,-0.006940,353.44
19900730,0.005970,355.55
19900731,0.001688,356.15
