Date,Vanguard ETF,S&P 500
22-07-21,0.0021275,0.002016661
21-07-21,0.008404846,0.008241847
20-07-21,0.014129211,0.015162652
19-07-21,-0.014951716,-0.015869531
16-07-21,-0.007780446,-0.007538939
15-07-21,-0.003216877,-0.003262236
14-07-21,0.001373421,0.00116497
13-07-21,-0.0033846,-0.00351683
12-07-21,0.00362165,0.003451156
09-07-21,0.010550493,0.011277952
08-07-21,-0.007962541,-0.008561011
07-07-21,0.003442211,0.003359011
06-07-21,-0.001880878,-0.002021901
02-07-21,0.007606004,0.007500104
01-07-21,0.005641391,0.00522164
30-06-21,0.000915658,0.001328114
29-06-21,-0.002941773,0.00027735
28-06-21,0.002083863,0.002315042
25-06-21,0.003698508,0.003330607
24-06-21,0.005720589,0.005811157
23-06-21,-0.001076261,-0.00108326
22-06-21,0.005306816,0.005124515
21-06-21,0.014001358,0.014002328
18-06-21,-0.013274222,-0.013124547
17-06-21,-0.000360722,-0.000435637
16-06-21,-0.005483664,-0.005390207
15-06-21,-0.002096811,-0.00201168
14-06-21,0.002512241,0.001815211
11-06-21,0.001746231,0.00194849
10-06-21,0.004617925,0.004652155
09-06-21,-0.001571234,-0.001823876
08-06-21,0.000154571,0.000175085
07-06-21,-0.000849421,-0.000796711
04-06-21,0.0090647,0.008834087
03-06-21,-0.00380356,-0.003628699
02-06-21,0.00168468,0.001446916
01-06-21,-0.00077694,-0.000492375
28-05-21,0.001946131,0.000768887
27-05-21,0.000441318,0.001165398
26-05-21,0.001820499,0.001876733
25-05-21,-0.002102149,-0.002125302
24-05-21,0.010092537,0.009911306
21-05-21,-0.00075964,-0.00078382
20-05-21,0.010668996,0.010554756
19-05-21,-0.002640403,-0.002943435
18-05-21,-0.008638065,-0.008517302
17-05-21,-0.002402402,-0.002530038
14-05-21,0.015351575,0.014917933
13-05-21,0.011885279,0.012173151
12-05-21,-0.021346427,-0.021449387
11-05-21,-0.008770788,-0.008673895
10-05-21,-0.009793057,-0.010435666
07-05-21,0.007137666,0.007373346
06-05-21,0.00813774,0.008165391
05-05-21,0.000183198,0.000703539
04-05-21,-0.006086776,-0.006678338
03-05-21,0.002268165,0.002748035
30-04-21,-0.006604165,-0.007194638
29-04-21,0.006674314,0.006762798
28-04-21,-0.000469068,-0.000845531
27-04-21,-0.000312614,-0.000214919
26-04-21,0.002166932,0.001782224
23-04-21,0.010659912,0.010928711
22-04-21,-0.009176471,-0.009210671
21-04-21,0.009394627,0.00930606
20-04-21,-0.007334835,-0.006802362
19-04-21,-0.004926622,-0.005306453
16-04-21,0.003505192,0.003608749
15-04-21,0.010734209,0.011094248
14-04-21,-0.00321518,-0.004087802
13-04-21,0.002721843,0.003294582
12-04-21,0.000449438,-0.000196183
09-04-21,0.007189455,0.007719963
08-04-21,0.004869826,0.00422064
07-04-21,0.001259176,0.00147523
06-04-21,-0.000562294,-0.000973538
05-04-21,0.014423077,0.014438278
01-04-21,0.010595663,0.011825145
31-03-21,0.003968473,0.003622539
30-03-21,-0.00255642,-0.003157823
29-03-21,-0.000604379,-0.000868025
26-03-21,0.012742398,0.016631198
25-03-21,0.005623636,0.005240233
24-03-21,-0.005536852,-0.005467304
23-03-21,-0.007346646,-0.007630837
22-03-21,0.007905799,0.007025121
19-03-21,-0.00177842,-0.000602739
18-03-21,-0.014702661,-0.0147605
17-03-21,0.003268782,0.002879343
16-03-21,-0.001124952,-0.001569689
15-03-21,0.005795342,0.006491959
12-03-21,0.001409424,0.001015399
11-03-21,0.010556595,0.01039548
10-03-21,0.006182033,0.006030283
09-03-21,0.013990198,0.014154684
08-03-21,-0.004905158,-0.005359272
05-03-21,0.018334585,0.019495976
04-03-21,-0.012319626,-0.013417214
03-03-21,-0.013198255,-0.013066204
02-03-21,-0.007734837,-0.008080844
01-03-21,0.024400011,0.023790719
26-02-21,-0.005490442,-0.004750166
25-02-21,-0.023989338,-0.024478847
24-02-21,0.011060581,0.011351662
23-02-21,0.001264862,0.001256288
22-02-21,-0.007864135,-0.007732849
19-02-21,-0.001837161,-0.001854894
18-02-21,-0.004268411,-0.004415808
17-02-21,0.000221785,-0.0003204
16-02-21,-0.000941698,-0.000569275
12-02-21,0.005094371,0.004710983
11-02-21,0.001617221,0.001662455
10-02-21,-0.000390211,-0.00034516
09-02-21,-0.000807642,-0.001113498
08-02-21,0.007378521,0.007399346
05-02-21,0.003999775,0.003897472
04-02-21,0.011193711,0.010853304
03-02-21,0.00099789,0.001008805
02-02-21,0.014373717,0.013898237
01-02-21,0.016432477,0.016051736
29-01-21,-0.020021318,-0.019311503
28-01-21,0.008395306,0.009760662
27-01-21,-0.024263039,-0.025677859
26-01-21,-0.001500014,-0.001488836
25-01-21,0.004063654,0.003615803
22-01-21,-0.003567788,-0.003010586
21-01-21,0.000935295,0.000316731
20-01-21,0.013588049,0.013935576
19-01-21,0.007904566,0.008136403
15-01-21,-0.00712951,-0.007190018
14-01-21,-0.003380798,-0.003753438
13-01-21,0.002498851,0.002275603
12-01-21,8.61747E-05,0.000415832
11-01-21,-0.006535015,-0.006554797
08-01-21,0.005624749,0.005491891
07-01-21,0.014941893,0.014847364
06-01-21,0.006065756,0.005709901
05-01-21,0.006577589,0.00708254
04-01-21,-0.01355873,-0.014754784
31-12-20,0.005382478,0.006438838
30-12-20,0.001347433,0.001341547
29-12-20,-0.002104586,-0.002227362
28-12-20,0.00869796,0.008722516
24-12-20,0.003996329,0.003536576
23-12-20,0.000799905,0.000745811
22-12-20,-0.006036691,-0.002073117
21-12-20,-0.003082433,-0.003906282
18-12-20,-0.004005731,-0.0035111
17-12-20,0.005438617,0.005757639
16-12-20,0.001531033,0.001772848
15-12-20,0.013820483,0.012921214
14-12-20,-0.004575843,-0.004359267
11-12-20,-0.00127604,-0.00126496
10-12-20,-0.00047458,-0.001285116
09-12-20,-0.008878175,-0.00794922
08-12-20,0.002889321,0.002787137
07-12-20,-0.001853977,-0.001935595
04-12-20,0.00860764,0.008836235
03-12-20,-0.000296727,-0.000624147
02-12-20,0.00211121,0.001791151
01-12-20,0.011002886,0.011271168
30-11-20,-0.004489136,-0.00459549
27-11-20,0.002851226,0.002396925
25-11-20,-0.001647989,-0.001584416
24-11-20,0.01619877,0.016161718
23-11-20,0.00591136,0.005635917
20-11-20,-0.006693237,-0.006792541
19-11-20,0.004185507,0.003946421
18-11-20,-0.012132553,-0.011563832
17-11-20,-0.004984985,-0.004791958
16-11-20,0.012127291,0.011648048
13-11-20,0.013585952,0.013610366
12-11-20,-0.009248237,-0.009978559
11-11-20,0.00703879,0.007651888
10-11-20,-0.001289293,-0.001399803
09-11-20,0.012463092,0.011699872
06-11-20,-0.000124305,-0.000287712
05-11-20,0.019581129,0.019460191
04-11-20,0.022516685,0.022047038
03-11-20,0.017638719,0.017799314
02-11-20,0.011640318,0.012318193
30-10-20,-0.011245589,-0.012129506
29-10-20,0.010530876,0.011947307
28-10-20,-0.034430608,-0.035287907
27-10-20,-0.0033034,-0.003025607
26-10-20,-0.018416496,-0.018589538
23-10-20,0.003411568,0.00344579
22-10-20,0.005494855,0.005218945
21-10-20,-0.001807172,-0.002195683
20-10-20,0.003946908,0.004727277
19-10-20,-0.015110192,-0.016329823
16-10-20,-0.000845706,0.000134928
15-10-20,-0.001188837,-0.001527803
14-10-20,-0.006249028,-0.006623139
13-10-20,-0.006394415,-0.006306908
12-10-20,0.016134095,0.016418713
09-10-20,0.008898882,0.008790686
08-10-20,0.00884984,0.008007136
07-10-20,0.017158456,0.017405793
