Date,XOM,S&P 500
22-07-21,57.11,4367.48
21-07-21,57.76,4358.69
20-07-21,55.96,4323.06
19-07-21,55.35,4258.49
16-07-21,57.32,4327.16
15-07-21,58.95,4360.03
14-07-21,59.53,4374.3
13-07-21,60.88,4369.21
12-07-21,61.17,4384.63
09-07-21,61.23,4369.55
08-07-21,60.14,4320.82
07-07-21,60.41,4358.13
06-07-21,61.37,4343.54
02-07-21,63.17,4352.34
01-07-21,63.26,4319.94
30-06-21,63.08,4297.5
29-06-21,62.62,4291.8
28-06-21,63.01,4290.61
25-06-21,64.66,4280.7
24-06-21,64.52,4266.49
23-06-21,64.26,4241.84
22-06-21,63.79,4246.44
21-06-21,62.59,4224.79
18-06-21,60.4,4166.45
17-06-21,61.99,4221.86
16-06-21,64.1,4223.7
15-06-21,64.33,4246.59
14-06-21,62.07,4255.15
11-06-21,62.17,4247.44
10-06-21,62.75,4239.18
09-06-21,62.65,4219.55
08-06-21,62.13,4227.26
07-06-21,61.05,4226.52
04-06-21,61.45,4229.89
03-06-21,61.18,4192.85
02-06-21,60.94,4208.12
01-06-21,60.46,4202.04
28-05-21,58.37,4204.11
27-05-21,58.56,4200.88
26-05-21,58.94,4195.99
25-05-21,58.26,4188.13
24-05-21,59.61,4197.05
21-05-21,58.92,4155.86
20-05-21,58.84,4159.12
19-05-21,58.98,4115.68
18-05-21,60.43,4127.83
17-05-21,62.19,4163.29
14-05-21,60.77,4173.85
13-05-21,59.3,4112.5
12-05-21,60.04,4063.04
11-05-21,60.59,4152.1
10-05-21,62.58,4188.43
07-05-21,62.43,4232.6
06-05-21,61.55,4201.62
05-05-21,60.97,4167.59
04-05-21,59.19,4164.66
03-05-21,58.82,4192.66
30-04-21,57.24,4181.17
29-04-21,58.94,4211.47
28-04-21,58.11,4183.18
27-04-21,56.41,4186.72
26-04-21,55.68,4187.62
23-04-21,55.57,4180.17
22-04-21,55.27,4134.98
21-04-21,56,4173.42
20-04-21,55.29,4134.94
19-04-21,56.48,4163.26
16-04-21,56.66,4185.47
15-04-21,56.98,4170.42
14-04-21,57.32,4124.66
13-04-21,55.71,4141.59
12-04-21,55.5,4127.99
09-04-21,55.87,4128.8
08-04-21,56,4097.17
07-04-21,56.59,4079.95
06-04-21,56.34,4073.94
05-04-21,56.5,4077.91
01-04-21,57.39,4019.87
31-03-21,55.83,3972.89
30-03-21,56.69,3958.55
29-03-21,57.4,3971.09
26-03-21,57.71,3974.54
25-03-21,56.18,3909.52
24-03-21,56.34,3889.14
23-03-21,55.22,3910.52
22-03-21,55.91,3940.59
19-03-21,56.49,3913.1
18-03-21,56.81,3915.46
17-03-21,59.37,3974.12
16-03-21,59.11,3962.71
15-03-21,60.39,3968.94
12-03-21,61.97,3943.34
11-03-21,61.31,3939.34
10-03-21,61.77,3898.81
09-03-21,59.93,3875.44
08-03-21,60.87,3821.35
05-03-21,60.93,3841.94
04-03-21,58.71,3768.47
03-03-21,56.52,3819.72
